job_id,Y_hist,Q,gender,ethnicity,age_band,location
209,0,0.20195928263000892,Male,E6,30-39,R1
68,0,0.1772325134564559,Male,E6,40-49,R2
236,0,0.32770575478601577,Female,E4,40-49,R1
95,0,0.5819430282558167,Female,E3,30-39,R1
61,1,0.5743963059320786,Female,E2,30-39,R4
239,1,0.5631914688485524,Female,E3,18-29,R1
192,1,0.4360612808841189,Male,E2,30-39,R1
202,1,0.15683613922825648,Male,E1,18-29,R1
296,0,0.08127452297139359,Male,E2,30-39,R4
117,0,0.31387330746643943,Male,E5,40-49,R1
251,0,0.45973067065837664,Female,E1,40-49,R3
99,0,0.38915680212383036,Male,E1,40-49,R1
170,0,0.4410214068415307,Male,E6,40-49,R3
179,0,0.5839140545634673,Male,E4,30-39,R3
63,1,0.08706442958197501,Male,E3,40-49,R1
56,0,0.3344225290769818,Female,E2,30-39,R2
68,0,0.4722771640041904,Male,E2,30-39,R1
201,0,0.14717188284773045,Male,E2,40-49,R1
184,0,0.07314850559383543,Male,E1,50-64,R1
282,0,0.0509339964810822,Male,E4,18-29,R1
211,0,0.20895091237722901,Male,E1,30-39,R3
74,0,0.2736646776311434,Female,E5,30-39,R1
274,0,0.388114259141633,Male,E6,40-49,R2
284,0,0.4613216315785148,Male,E3,18-29,R2
219,1,0.594452927201003,Female,E2,50-64,R4
200,0,0.26268757441874224,Female,E4,30-39,R1
39,1,0.7304920024790422,Male,E1,30-39,R4
28,1,0.44083143574924144,Male,E4,40-49,R1
79,0,0.3902239094309415,Male,E4,40-49,R2
132,0,0.7004275832493462,Male,E5,30-39,R2
21,0,0.5090188490006793,Male,E1,40-49,R3
265,0,0.10066079171791713,Female,E3,30-39,R1
142,1,0.688327966987884,Male,E5,30-39,R1
209,0,0.35908436012170103,Female,E2,50-64,R3
63,0,0.7968184041442742,Male,E3,40-49,R2
97,0,0.3698035262094972,Male,E2,30-39,R1
34,0,0.2763544795469303,Male,E5,30-39,R1
220,1,0.771636667839754,Male,E4,50-64,R1
232,0,0.2753315505076878,Male,E3,30-39,R2
66,0,0.1438150016141649,Male,E1,30-39,R1
214,0,0.2622610378963729,Male,E3,30-39,R3
