draw,S,mae_or_nonnull,beta_NH-Black,se_NH-Black,OR_NH-Black,covered_NH-Black,flag_NH-Black,p_NH-Black,beta_NH-Asian,se_NH-Asian,OR_NH-Asian,covered_NH-Asian,flag_NH-Asian,p_NH-Asian,beta_NH-AmInd-AKNat,se_NH-AmInd-AKNat,OR_NH-AmInd-AKNat,covered_NH-AmInd-AKNat,flag_NH-AmInd-AKNat,p_NH-AmInd-AKNat,beta_Hispanic,se_Hispanic,OR_Hispanic,covered_Hispanic,flag_Hispanic,p_Hispanic,beta_NH-Other-Multi,se_NH-Other-Multi,OR_NH-Other-Multi,covered_NH-Other-Multi,flag_NH-Other-Multi,p_NH-Other-Multi
0,3,0.004031896103536529,-0.49591432803665547,0.013736450122693946,0.6090138142471463,True,True,2.104333696528131e-285,-0.19179524171601633,0.007536768245466581,0.8254758742119048,True,True,7.439666192045117e-143,-0.03866060489026543,0.04059736054598178,0.9620771780316725,True,False,0.34094812435231636,-0.30387811237623474,0.006738671494371193,0.7379508080395442,True,True,0.0,0.020905318315945977,0.015703642095782816,1.0211253651911765,True,False,0.18311001565741347
1,3,0.004368704334436997,-0.5062416842367176,0.013736450122693946,0.6027566771110983,True,True,2.5332764582366146e-297,-0.20265548690089819,0.007536768245466581,0.8165595084195928,True,True,2.96059977171029e-159,-0.0076918909298623415,0.04059736054598178,0.9923376159601139,True,False,0.8497262218896335,-0.30971320550726883,0.006738671494371193,0.7336573349383311,True,True,0.0,-0.020041217622513888,0.015703642095782816,0.980158272680465,True,False,0.20187966205236574
2,3,0.006632920399320175,-0.484477860675978,0.013736450122693946,0.6160187604256167,True,True,1.7235325749992938e-272,-0.19097914577003905,0.007536768245466581,0.8261498166898087,True,True,1.1683552994266462e-141,-0.07264115469441282,0.04059736054598178,0.929934472779205,True,False,0.07356533466279883,-0.29596989839184357,0.006738671494371193,0.7438098175548683,True,True,0.0,0.011825723301561071,0.015703642095782816,1.0118959236176157,True,False,0.45141620973987695
3,3,0.007289931301731796,-0.4769100164509891,0.013736450122693946,0.620698379423649,True,True,4.131901008210164e-264,-0.2073251245148042,0.007536768245466581,0.8127553603341933,True,True,1.3895395763050513e-166,-0.04482694269872332,0.04059736054598178,0.9561629384936619,True,False,0.26951347044393414,-0.2976719358817774,0.006738671494371193,0.7425449021321091,True,True,0.0,0.007497609555405516,0.015703642095782816,1.007525787007084,True,False,0.6330459951190639
4,3,0.00536884523650305,-0.5101768446944279,0.013736450122693946,0.6003893937445353,True,True,6.270926560376084e-302,-0.20051667952222826,0.007536768245466581,0.8183078409280801,True,True,5.921375758585582e-156,0.02813363036852174,0.04059736054598178,1.0285331184981992,True,False,0.4883148148642993,-0.31296451273302495,0.006738671494371193,0.7312758630902086,True,True,0.0,-0.016809293012345558,0.015703642095782816,0.983331194884627,True,False,0.28443601837763466
5,3,0.0038387832981967205,-0.5143804987385135,0.013736450122693946,0.5978708616689531,True,True,6.87619553947273e-307,-0.20262751848900024,0.007536768245466581,0.816582346611636,True,True,3.2716860570645817e-159,0.015366672780584885,0.04059736054598178,1.0154853471945027,True,False,0.705048732440523,-0.2990445602935176,0.006738671494371193,0.7415263660662819,True,True,0.0,0.021915443665431064,0.015703642095782816,1.0221573509372903,True,False,0.1628457128013613
6,3,0.0035840464834548205,-0.5119496850425104,0.013736450122693946,0.5993259421462274,True,True,5.13421875780197e-304,-0.20390293876857876,0.007536768245466581,0.8155415248105298,True,True,3.38791044596044e-161,0.002197340492923454,0.04059736054598178,1.0021997564147547,True,False,0.9568354103844089,-0.2995166060456269,0.006738671494371193,0.7411764142982242,True,True,0.0,-0.017484677529558495,0.015703642095782816,0.9826672924402616,True,False,0.2655300480142835
7,3,0.003222607658646829,-0.5021802196213164,0.013736450122693946,0.6052097301489121,True,True,1.3198713431651896e-292,-0.20478600060123311,0.007536768245466581,0.8148216691023538,True,True,1.40738584427528e-162,0.02752011567200762,0.04059736054598178,1.0279022918446474,True,False,0.4978481425867819,-0.3060084306761952,0.006738671494371193,0.7363804112451268,True,True,0.0,0.0244236839136865,0.015703642095782816,1.024724385168425,True,False,0.11987752726934499
8,3,0.008101265123983237,-0.47968226433830385,0.013736450122693946,0.6189800325948241,True,True,3.6456882981759134e-267,-0.19431701509264504,0.007536768245466581,0.8233968336655945,True,True,1.3920790793202653e-146,0.014968192860751448,0.04059736054598178,1.0150807772866062,True,False,0.7123523397999927,-0.29034352753830694,0.006738671494371193,0.7480065625838642,True,True,0.0,-0.005271355086405544,0.015703642095782816,0.99474251412527,True,False,0.7371142779937108
9,3,0.006676212661071952,-0.4809085274008626,0.013736450122693946,0.6182214654408885,True,True,1.6035616157231728e-268,-0.2064439217252411,0.007536768245466581,0.8134718782773915,True,True,3.455983856480276e-165,0.029715458316807872,0.04059736054598178,1.0301613683968611,True,False,0.4641957747272949,-0.2958524551297315,0.006738671494371193,0.7438971781360884,True,True,0.0,0.001419142910830171,0.015703642095782816,1.001420150370651,True,False,0.9279929540511775
10,3,0.00443817810837784,-0.4820190499738977,0.013736450122693946,0.6175352976213264,True,True,9.407168769727413e-270,-0.19869443089163366,0.007536768245466581,0.8198003607286936,True,True,3.60855248552769e-153,-0.05450199686246254,0.04059736054598178,0.946956617913813,True,False,0.17943360849337064,-0.29832718522078805,0.006738671494371193,0.7420585094474467,True,True,0.0,0.010249374934584447,0.015703642095782816,1.0103020796875506,True,False,0.5139658093312811
11,3,0.004132179391058625,-0.4981060804430858,0.013736450122693946,0.6076804684698869,True,True,6.5160502692492175e-288,-0.19531800354035578,0.007536768245466581,0.8225730353223116,True,True,4.471587737696657e-148,0.035573794942132926,0.04059736054598178,1.0362141126671636,True,False,0.38088935050219885,-0.310045243169303,0.006738671494371193,0.7334137735101253,True,True,0.0,0.02485513576368639,0.015703642095782816,1.0251665997904444,True,False,0.11347560776092414
12,3,0.005850432055240902,-0.48427476756452903,0.013736450122693946,0.6161438822976475,True,True,2.90416015964143e-272,-0.19188451014628244,0.007536768245466581,0.8254021885653413,True,True,5.500706601550795e-143,0.05525785203603818,0.04059736054598178,1.0568130809506278,True,False,0.17347598309623746,-0.3017112459328057,0.006738671494371193,0.7395515825883687,True,True,0.0,-0.00741915720080952,0.015703642095782816,0.9926082968088149,True,False,0.6366069180996342
13,3,0.003607101336745392,-0.4907370400538262,0.013736450122693946,0.6121750303509159,True,True,1.607794400485917e-279,-0.19373800510928044,0.007536768245466581,0.8238737267021489,True,True,1.0090137124744621e-145,-0.005420024146997511,0.04059736054598178,0.9945946376827624,True,False,0.8937925779861507,-0.3000458419153774,0.006738671494371193,0.7407842609339312,True,True,0.0,-0.005491447933783,0.015703642095782816,0.9945236025042534,True,False,0.7265693839312413
14,3,0.004343695853836945,-0.5087626889106805,0.013736450122693946,0.6012390385016274,True,True,2.86278730386421e-300,-0.19468594500628264,0.007536768245466581,0.8230931139719458,True,True,3.9283579581127105e-147,-0.058752776893692564,0.04059736054598178,0.9429398568640541,True,False,0.14783900812921327,-0.3045690377183167,0.006738671494371193,0.7374411152251771,True,True,0.0,-0.028137439605298957,0.015703642095782816,0.9722547313115313,True,False,0.07316854263064246
15,3,0.011840751713995642,-0.5371909096792533,0.013736450122693946,0.5843875462334516,False,True,0.0,-0.20215582983849112,0.007536768245466581,0.8169676100918012,True,True,1.7606733794710677e-158,0.00681183702410961,0.04059736054598178,1.0068350903552465,True,False,0.8667483755102737,-0.31580418900030044,0.006738671494371193,0.7292022220050934,False,True,0.0,-0.016428625175771337,0.015703642095782816,0.9837055886985402,True,False,0.29548414067809825
16,3,0.009325440162103052,-0.5098195737588727,0.013736450122693946,0.6006039337471075,True,True,1.6481989355004774e-301,-0.2190421188033634,0.007536768245466581,0.8032878839166758,False,True,1.0500832138273639e-185,0.029523041902814916,0.04059736054598178,1.0299631675096836,True,False,0.46709377060255564,-0.308958151106204,0.006738671494371193,0.7342114953222406,True,True,0.0,0.015608743456056109,0.015703642095782816,1.015731196173643,True,False,0.3202438496879513
17,3,0.005559390715338915,-0.49337756024139,0.013736450122693946,0.6105607020960961,True,True,1.6346570472659988e-282,-0.19426059454067982,0.007536768245466581,0.8234432914800117,True,True,1.6888857659454202e-146,-0.0034337206812639887,0.04059736054598178,0.9965721677958711,True,False,0.932595379547682,-0.28934503835710157,0.006738671494371193,0.748753812042242,True,True,0.0,-0.017675899955240968,0.015703642095782816,0.9824794023819312,True,False,0.26033809294418
18,3,0.007828396882596142,-0.4714490866403037,0.013736450122693946,0.6240972417348811,False,True,3.811727042098996e-258,-0.19619319505652966,0.007536768245466581,0.8218534413175799,True,True,2.1809539682994397e-149,-0.004415975738322359,0.04059736054598178,0.9955937603458288,True,False,0.9133809953528151,-0.30378123763524767,0.006738671494371193,0.7380223002957752,True,True,0.0,0.01774929440117008,0.015703642095782816,1.017907749225868,True,False,0.258364111971467
19,3,0.0018903731161153587,-0.5013765855238318,0.013736450122693946,0.6056962928071743,True,True,1.1203385035561226e-291,-0.19879364717604073,0.007536768245466581,0.8197190272178176,True,True,2.5489136720092977e-153,0.024261139223955206,0.04059736054598178,1.024557835197451,True,False,0.5501042904130053,-0.30520844275272635,0.006738671494371193,0.7369697423786667,True,True,0.0,-0.018251598048630534,0.015703642095782816,0.9819139536426832,True,False,0.24513289511213676
20,3,0.0031026699722130533,-0.4998055101224246,0.013736450122693946,0.6066486352585395,True,True,7.258780657878638e-290,-0.1973312740904587,0.007536768245466581,0.8209186391873048,True,True,4.2077086195115024e-151,-0.011700937112928047,0.04059736054598178,0.9883672526312988,True,False,0.773178984027497,-0.29059247831967544,0.006738671494371193,0.747820368943128,True,True,0.0,0.016232521025735778,0.015703642095782816,1.0163649841614548,True,False,0.30128637370098443
21,3,0.009676911322230475,-0.46606759262309866,0.013736450122693946,0.6274648706174322,False,True,2.4673711178652253e-252,-0.1969976282453739,0.007536768245466581,0.8211925809776511,True,True,1.341938197555418e-150,-0.043447830791883926,0.04059736054598178,0.9574825038920478,True,False,0.2845233579765011,-0.29242273720851264,0.006738671494371193,0.7464529158439412,True,True,0.0,-0.015940960019413364,0.015703642095782816,0.9841854246283855,True,False,0.3100523059536343
22,3,0.008991229686217683,-0.5244881558368428,0.013736450122693946,0.5918582260296257,True,True,0.0,-0.1929848878463917,0.007536768245466581,0.8244944339314956,True,True,1.3151380407963462e-144,0.04507134561997024,0.04059736054598178,1.0461024920771957,True,False,0.2669111979302624,-0.2912139084432545,0.006738671494371193,0.7473557952038494,True,True,0.0,-0.010969847473273656,0.015703642095782816,0.9890901018914773,True,False,0.48483058182824346
23,3,0.007452938117398926,-0.47303359931432926,0.013736450122693946,0.6231091347862545,False,True,7.201480078891689e-260,-0.20232867950818514,0.007536768245466581,0.816826409713817,True,True,9.506836894504325e-159,-0.057466522806210944,0.04059736054598178,0.9441534974669623,True,False,0.15691502774659558,-0.2947815923811926,0.006738671494371193,0.7446942165961288,True,True,0.0,-0.00402649166178447,0.015703642095782816,0.9959816037867033,True,False,0.797638161352534
24,3,0.006625570884583709,-0.5129162363476195,0.013736450122693946,0.5987469427360541,True,True,3.712584285123006e-305,-0.20389934134196105,0.007536768245466581,0.8155444586665961,True,True,3.4320040401245696e-161,-0.036004508153636705,0.04059736054598178,0.9646359447462782,True,False,0.37514986308431186,-0.31209564744165813,0.006738671494371193,0.7319115194159318,True,True,0.0,0.001466323036989933,0.015703642095782816,1.0014673986142646,True,False,0.9256058806971148
25,4,0.007550366303225882,-0.4979922757451657,0.013736450122693946,0.607749629297372,True,True,8.80117399786679e-288,-0.21108839992174894,0.007536768245466581,0.8097024860810449,True,True,1.3051003486088967e-172,-0.08877060516067642,0.04059736054598178,0.915055458500147,False,True,0.028770987601469625,-0.31688521914049045,0.006738671494371193,0.7284143583537157,False,True,0.0,0.0029536960064037382,0.015703642095782816,1.0029580624644576,True,False,0.850806201641684
26,3,0.0046253783063912035,-0.5147801484143355,0.013736450122693946,0.59763197051247,True,True,2.310346706819844e-307,-0.20099952161724194,0.007536768245466581,0.8179128228291579,True,True,1.0721481003219361e-156,-0.03336428588617937,0.04059736054598178,0.9671861631378632,True,False,0.4111714547659141,-0.30563058060200937,0.006738671494371193,0.7366587052115317,True,True,0.0,-0.02761244187003378,0.015703642095782816,0.9727652968547207,True,False,0.07868859453381025
27,4,0.004443594261705004,-0.491508291400146,0.013736450122693946,0.6117030715573963,True,True,2.1564573273653995e-280,-0.20594283252716258,0.007536768245466581,0.8138796023930807,True,True,2.1359045952154415e-164,0.10614467746447882,0.04059736054598178,1.111982743713225,False,True,0.008933961637614006,-0.29554565495082963,0.006738671494371193,0.7441254409371688,True,True,0.0,0.01326974100843679,0.015703642095782816,1.0133581747530116,True,False,0.39810502817654625
